what,kind,bundleId,bundleVersion,description,time
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1489022614542
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1489022614542
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1489022614542
java.vm.specification.version,sysinfo,,,"1.0",1489022614542
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1489022614542
java.vm.version,sysinfo,,,"19.0-b09",1489022614542
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489022635481
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1489022640637
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1489022640710
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1489022640822
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1489022640826
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1489022640827
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1489022640827
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1489022674288
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1489022674323
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1489022675271
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1489022675925
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489022679927
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1489022679939
executed,command,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project.commands.quartus",1489022702644
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489022702739
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489022739088
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1489022746551
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1489022746555
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1489022748554
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1489022748558
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489022752028
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489022760400
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1489022760879
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1489022760884
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489022761173
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1489022762763
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1489022763066
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1489022763073
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489022764380
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489022773493
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489022776147
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1489022776162
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1489022776162
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489022776176
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489022779808
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489022786493
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489022795962
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489022796258
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489022796798
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489022796850
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489022796870
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489022796927
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1489022797261
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489022799904
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1489022807304
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1489022850625
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1489022882003
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489022883973
started,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.ui",1489022885234
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489022892432
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1489022892468
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489022892515
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1489022892524
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489022892608
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489022892642
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1489022896357
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1489022935856
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1489022941969
activated,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1489022962152
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489022962162
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1489023104647
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489023136166
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489023141549
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1489023164743
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489023166045
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489023166207
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1489023168145
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489023362518
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489023379436
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1489023381228
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489023463281
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489024202924
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1489024685489
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1489024687408
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1489024689615
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1489024705507
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1489024742072
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1489024883922
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1489024885712
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1489024890276
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1489024891534
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1489024892705
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1489024893989
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1489025074819
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1489025075834
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1489025089346
